| Cancer Subtype | N. Pos. Samples | Embeddings AUC | Xdel AUC | Xnd AUC |
| --- | --- | --- | --- | --- |
| hepatocellular_carcinoma | 849 | <b>0.73</b> | 0.69 | 0.65 |
| liver_cancer | 1315 | 0.67 | 0.67 | <b>0.68</b> |
| colon_adenocarcinoma | 575 | <b>0.78</b> | 0.77 | 0.76 |
| colon_carcinoma | 582 | <b>0.78</b> | 0.75 | 0.76 |
| colon_cancer | 633 | <b>0.79</b> | 0.75 | 0.76 |
| colorectal_cancer | 633 | 0.79 | <b>0.8</b> | 0.75 |
| intestinal_cancer | 1814 | <b>0.81</b> | 0.77 | 0.74 |
| esophageal_carcinoma | 969 | <b>0.8</b> | 0.79 | 0.76 |
| stomach_cancer | 906 | <b>0.81</b> | 0.73 | 0.75 |
| biliary_tract_cancer | 613 | 0.62 | 0.61 | <b>0.65</b> |
| gastrointestinal_system_cancer | 6255 | <b>0.8</b> | 0.67 | 0.66 |
| integumentary_system_cancer | 668 | 0.63 | <b>0.77</b> | 0.55 |
| diffuse_large_B_cell_lymphoma | 256 | 0.68 | <b>0.81</b> | 0.75 |
| lymphoma | 760 | <b>0.74</b> | <b>0.74</b> | <b>0.74</b> |
| acute_myeloid_leukaemia | 942 | 0.84 | <b>0.87</b> | 0.84 |
| T_cell_acute_lymphoblastic_leukemia | 359 | 0.81 | <b>0.83</b> | 0.76 |
| B_cell_acute_lymphoblastic_leukemia | 251 | <b>0.78</b> | 0.75 | 0.65 |
| lymphoid_leukemia | 778 | 0.75 | <b>0.81</b> | 0.7 |
| chronic_lymphocytic_leukemia | 798 | <b>0.83</b> | 0.6 | 0.56 |
| leukemia | 3059 | <b>0.81</b> | 0.73 | 0.74 |
| immune_system_cancer | 3847 | <b>0.78</b> | 0.75 | 0.74 |
| breast_ductal_carcinoma | 122 | 0.63 | <b>0.77</b> | 0.69 |
| breast_cancer | 1819 | 0.62 | <b>0.69</b> | 0.66 |
| lung_adenocarcinoma | 778 | 0.57 | 0.63 | <b>0.65</b> |
| lung_squamous_cell_carcinoma | 506 | 0.8 | 0.79 | <b>0.84</b> |
| lung_cancer | 1639 | 0.6 | <b>0.65</b> | <b>0.65</b> |
| respiratory_system_cancer | 2157 | <b>0.69</b> | 0.63 | 0.66 |
| thoracic_cancer | 3976 | 0.63 | 0.63 | <b>0.64</b> |
| ovarian_cancer | 643 | 0.65 | <b>0.67</b> | 0.65 |
| cervical_cancer | 253 | 0.69 | 0.77 | <b>0.79</b> |
| endometrial_cancer | 399 | 0.71 | <b>0.82</b> | 0.68 |
| female_reproductive_organ_cancer | 1297 | 0.67 | <b>0.71</b> | 0.64 |
| prostate_adenocarcinoma | 817 | 0.64 | 0.63 | <b>0.65</b> |
| male_reproductive_organ_cancer | 1135 | 0.65 | <b>0.66</b> | 0.63 |
| reproductive_organ_cancer | 2432 | 0.62 | <b>0.63</b> | 0.6 |
| pancreatic_ductal_carcinoma | 737 | 0.78 | <b>0.87</b> | 0.57 |
| pancreatic_cancer | 1052 | 0.72 | <b>0.81</b> | 0.61 |
| thyroid_gland_cancer | 943 | <b>0.82</b> | 0.81 | 0.55 |
| adrenal_gland_cancer | 318 | <b>0.88</b> | 0.81 | 0.76 |
| endocrine_gland_cancer | 2403 | <b>0.73</b> | 0.69 | 0.63 |
| clear_cell_renal_cell_carcinoma | 1161 | 0.75 | <b>0.8</b> | 0.71 |
| kidney_cancer | 1938 | <b>0.72</b> | <b>0.72</b> | 0.68 |
| urinary_bladder_cancer | 501 | 0.75 | 0.83 | <b>0.84</b> |
| urinary_system_cancer | 2439 | 0.63 | <b>0.71</b> | 0.68 |
| brain_glioma | 1451 | 0.64 | <b>0.79</b> | 0.66 |
| brain_cancer | 1820 | 0.66 | <b>0.71</b> | 0.61 |
| central_nervous_system_cancer | 2171 | 0.67 | <b>0.73</b> | 0.62 |
| nervous_system_cancer | 2703 | <b>0.71</b> | 0.69 | 0.67 |
| connective_tissue_cancer | 505 | <b>0.69</b> | 0.53 | 0.58 |
| squamous_cell_carcinoma | 2273 | <b>0.81</b> | 0.69 | 0.66 |
| adenocarcinoma | 4079 | <b>0.73</b> | 0.65 | 0.66 |
| carcinoma | 16377 | <b>0.79</b> | 0.75 | 0.71 |
| astrocytoma | 972 | 0.59 | <b>0.74</b> | 0.65 |
| malignant_glioma | 1656 | 0.63 | <b>0.75</b> | 0.64 |
| cancer | 25233 | <b>0.56</b> | 0.54 | 0.54 |
| benign_neoplasm | 416 | 0.55 | 0.63 | <b>0.64</b> |
